SN,TITLE,CONTENT_link,DATE,VOTE
192311.0,서초동 삼풍아파트  버스 신설 및 확대 요청,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192311,2022-04-07 23:51:39.0,4.0
192307.0,서울시공무원 재택근무 해제요청,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192307,2022-04-07 10:27:26.0,5.0
192306.0,교통신호 신설 제안,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192306,2022-04-06 17:38:43.0,1.0
192305.0,서울페이 관련,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192305,2022-04-06 15:51:51.0,1.0
192304.0,민원번호(1AA-2203-0822627) 신사동 건물 진동에 대한 조치와 관련하여,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192304,2022-04-06 12:35:04.0,1.0
192303.0,일상으로 들어온 제로마켓을 계속 유지해주세요!,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192303,2022-04-06 11:28:13.0,1.0
192302.0,[서울시 어린이 건강도시락]을 만들어주세요.,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192302,2022-04-06 09:11:38.0,1.0
192300.0,청년수당 제도 올해로 종료한다네요. 앞으로도 연장해주세요.,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192300,2022-04-05 17:42:52.0,1.0
192298.0,신월6동 강신어린이공원 주변 개발 요청,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192298,2022-04-05 12:38:16.0,1.0
192297.0,우회전 교차로 횡단보도 개선,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192297,2022-04-05 11:23:02.0,1.0
192295.0,선유도공원 출렁다리 설치,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192295,2022-04-04 20:27:01.0,1.0
192293.0,선유도역 인근 주민들은 난 개발을 결사 반대합니다.,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192293,2022-03-31 21:54:39.0,6.0
192291.0,"서울 수도권에  디즈니랜드,유니버설스튜디오등 테마파크가 필요해보입니다.",http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192291,2022-03-31 13:28:14.0,5.0
192290.0,창동역 에스카레이터 설치,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192290,2022-03-31 03:30:09.0,6.0
192288.0,일차선 교차로 우선멈춤 적용,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192288,2022-03-29 14:24:37.0,1.0
192283.0,서울숲 랜드마크 및 환경 개선건,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192283,2022-03-27 19:36:26.0,5.0
192282.0,지하철역앞 금연구역 표시,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192282,2022-03-27 15:43:44.0,5.0
192277.0,서울시와 시의회 공모전은 공정하게 진행돼야 합니다.,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192277,2022-03-25 12:13:15.0,2.0
192273.0,편의점 앞에 쓰레기통 설치를 의무화해주시면 감사하겠습니다.,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192273,2022-03-24 09:52:13.0,3.0
192270.0,서촌지역 따릉이 대여소 추가설치 요청건..,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192270,2022-03-23 13:52:14.0,5.0
192269.0,"노후 필로티 구조  생활형주택의 RC기둥의 붕괴방지(노후화, 지진 대비)",http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192269,2022-03-23 13:44:33.0,5.0
192268.0,종로서대문 거점형 키움센터 3호 공간 효율이 떨어집니다. 7세를 위한 프로그램 필요합니다.,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192268,2022-03-23 10:22:35.0,8.0
192263.0,서울시 소방관들의 사명감에 건강을 더해 주십시오.,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192263,2022-03-22 12:40:17.0,18.0
192257.0,휴무일이 없는 도서관이 생겼으면 좋겠습니다.,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192257,2022-03-21 09:22:36.0,1.0
192255.0,백사마을 사업지연건,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192255,2022-03-20 18:14:56.0,1.0
192251.0,서울시 동물보호 조례 개정 제안,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192251,2022-03-19 14:31:40.0,1.0
192250.0,서리풀 터널을 지나는 시내버스 신설  해야 합니다,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192250,2022-03-19 01:25:21.0,3.0
192242.0,서울역 4호선쪽~공항철도 환승구간 에스컬레이터 설치 요청,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192242,2022-03-16 18:18:43.0,5.0
192240.0,코로나 격리통지서 발급 건,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192240,2022-03-16 12:16:54.0,5.0
192239.0,전기택시 보조금 추첨방식은 안됩니다. 기존방식대로 하세요.,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192239,2022-03-16 09:01:45.0,7.0
192233.0,코로나시대에 싱크트론으로 맑은물,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192233,2022-03-14 16:47:15.0,1.0
192230.0,주택가에도 쓰레기 분리수거통을 만들어주세요,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192230,2022-03-13 14:22:00.0,20.0
192229.0,방학역 도봉산 탐방객 진입로 확장조성 사업에 대한 추가소견,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192229,2022-03-13 12:10:39.0,7.0
192228.0,다양한 체육시설 증설요청,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192228,2022-03-13 10:03:19.0,5.0
192227.0,탄천 수질 개선,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192227,2022-03-13 08:19:30.0,5.0
192226.0,주유소에서 정품.정량을 판매하고 있는가???,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192226,2022-03-12 21:09:47.0,5.0
192225.0,낙산공원에 턱걸이 설치 부탁드립니다,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192225,2022-03-12 18:37:32.0,6.0
192223.0,장애인 이동편의 증진을 위한 하이패스 감면단말기를 지원하면 어떨까요?,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192223,2022-03-11 09:01:30.0,6.0
192221.0,수도요금 고지서를 개선하여 시민들에게 납부편의(식별용이)를 제공해 주세요!,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192221,2022-03-10 22:22:22.0,2.0
192219.0,비리가 없는 공무직 채용으로 바꿔주세요,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192219,2022-03-10 18:20:48.0,3.0
192214.0,코로나시대 화장장 자리부족,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192214,2022-03-07 13:05:41.0,5.0
192213.0,강남 롯데칠성부지로 경부선 고속버스터미널을 이전시키는 것은 어떨까요?,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192213,2022-03-07 01:16:22.0,5.0
192211.0,서울 남부터미널 개발,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192211,2022-03-06 21:54:02.0,1.0
192207.0,전기차택시 추첨제 기다리던 대기자,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192207,2022-03-06 10:20:36.0,3.0
192205.0,대현산 공원에 반려견 운동장을 만들어 주세요,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192205,2022-03-05 19:37:12.0,16.0
192197.0,반포한강공원 세빛섬 근처에 대관람차 설치를 제안합니다.,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192197,2022-03-03 17:34:46.0,5.0
